2025/01/25                                                                               Salida dinámica de lista                                                                                                                                    1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|    S|Orden   |Doc.mat.  |Fe.contab.|Fecha doc.|         Impte.ML|Material|  Cantidad|UMB|Texto breve de material                 |Ce. |Alm.|CMv|Cl.valor. |    Ctd.UME|Cta.mayor|Destinat.   |D/H|Mon.|  Reserva| Pos|Pto.desc.                |UME|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|     |90066940|4901010977|2004/05/13|2004/05/13|            0,00 |40003568|        1 |PC |2X10A + TM ~ UTILICE 20136759           |AR20|2010|261|          |         1 |         |DGodoy      |H  |ARS |  4897725|   1|                         |PC |
|     |90066940|4901010977|2004/05/13|2004/05/13|            0,00 |40009869|        1 |PC |CAP P/EXT 2X10A+T ~ UTILICE 20139805    |AR20|2010|261|          |         1 |         |DGodoy      |H  |ARS |  4897725|   2|                         |PC |
|     |90066940|4901010977|2004/05/13|2004/05/13|            0,00 |40003517|        7 |M  |2X1 B/PLAST TPR ~ UTILICE 20136731      |AR20|2010|261|          |         7 |         |DGodoy      |H  |ARS |  4897725|   3|                         |M  |
|     |90066940|4901010977|2004/05/13|2004/05/13|            0,00 |40008764|        1 |PC |5/8" ~ UTILICE 20139158                 |AR20|2010|261|          |         1 |         |DGodoy      |H  |ARS |  4897725|   4|                         |PC |
|     |90066940|4901010977|2004/05/13|2004/05/13|            0,00 |40003466|        1 |KG |STOCKINETTE 45X50 ~ UTILICE 20136697    |AR20|2010|261|          |         1 |         |DGodoy      |H  |ARS |  4897725|   5|                         |KG |
|     |90059430|4901010081|2004/05/13|2004/05/13|            0,00 |40005944|        2 |PC |44 55ZA ~ UTILICE 20137972              |AR20|2010|261|          |         2 |         |juarez      |H  |ARS |  4405055|  97|nocenti                  |PC |
|     |90059430|4901010081|2004/05/13|2004/05/13|            0,00 |40003720|        1 |PC |CAL.NEU+PRO.LAT ~ UTILICE 40051009      |AR20|2010|261|          |         1 |         |Romano      |H  |ARS |  4405055| 128|                         |PC |
|     |90058981|4901010003|2004/05/13|2004/05/13|            3,49 |20017649|        1 |PC |19MM D/FAZ ADHES ~ USE 14738305         |AR20|2010|261|NEW       |         1 |81251000 |env 206     |H  |ARS |  4384263|   1|                         |PC |
|     |90067482|4901009402|2004/05/13|2004/05/13|           13,42-|20025889|        1-|PC |RODAMIENTO,N.YEL-205,P/EJE 25M          |AR20|2010|262|NEW       |         1-|81251000 |            |S  |ARS |  4921648|   1|                         |PC |
|     |90067482|4901009389|2004/05/13|2004/05/13|           13,42 |20025889|        1 |PC |RODAMIENTO,N.YEL-205,P/EJE 25M          |AR20|2010|261|NEW       |         1 |81251000 |            |H  |ARS |  4921648|   1|                         |PC |
|  *  |        |          |2004/05/13|          |            3,49 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90067816|4901015435|2004/05/14|2004/05/14|           58,20 |20035090|        1 |PC |22211 EK ~ UTILICE 12247555             |AR20|2010|261|NEW       |         1 |81251000 |            |H  |ARS |  4947538|   1|                         |PC |
|     |90067816|4901015435|2004/05/14|2004/05/14|            3,54 |20025335|        1 |PC |H311 ~ MANGUITO-ROD                     |AR20|2010|261|NEW       |         1 |81251000 |DGodoy      |H  |ARS |  4947538|   2|                         |PC |
|  *  |        |          |2004/05/14|          |           61,74 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90059684|4901019613|2004/05/15|2004/05/15|            0,00 |40008656|       31 |PC |25MM ~ UTILICE 20139115                 |AR20|2010|261|          |        31 |         |DGodoy      |H  |ARS |  4457935|   1|                         |PC |
|  *  |        |          |2004/05/15|          |            0,00 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90066805|4901023890|2004/05/17|2004/05/17|           51,98 |20023928|      100 |L  |AGUA DESTILADA                          |AR20|2010|261|NEW       |       100 |81251000 |CUT-OVER    |H  |ARS |  4897551|   2|                         |L  |
|     |90059430|4901033166|2004/05/19|2004/05/19|            0,00 |40004591|        2 |PC |24V 60W ~ UTILICE 20137346              |AR20|2010|261|          |         2 |         |CUT-OVER    |H  |ARS |  4405055| 163|                         |PC |
|  *  |        |          |2004/05/19|          |       15.856,04 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90068695|4901040204|2004/05/20|2004/05/20|            0,00 |40004049|        1 |PC |40 55ZA ~ UTILICE 20137053              |AR20|2010|261|          |         1 |         |86350       |H  |ARS |         |    |                         |PC |
|     |90068701|4901039676|2004/05/20|2004/05/20|            0,00 |40003466|        4 |KG |STOCKINETTE 45X50 ~ UTILICE 20136697    |AR20|2010|261|          |         4 |         |DG-EV-Mart  |H  |ARS |  5015972|   3|                         |KG |
|     |90069338|4901039502|2004/05/20|2004/05/20|          138,39 |20020201|        4 |PC |RODAMIENTO,N.YEL-207,P/EJE 35M          |AR20|2010|261|NEW       |         4 |81251000 |DG-EV       |H  |ARS |  5048898|   1|                         |PC |
|     |90068702|4901038653|2004/05/20|2004/05/20|            0,00 |40007999|        1 |KG |2,5MM ~ UTILICE 20138848                |AR20|2010|261|          |         1 |         |DG-EV-Met.No|H  |ARS |  5015975|   3|                         |KG |
|     |90068702|4901038653|2004/05/20|2004/05/20|            0,00 |40008641|        1 |PC |178X22X3,0MM 8600RPM ~ UTILICE 20139110 |AR20|2010|261|          |         1 |         |DG-EV-Met.No|H  |ARS |  5015975|   4|                         |PC |
|  *  |        |          |2004/05/20|          |        2.033,82 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90068702|4901046186|2004/05/21|2004/05/21|            0,00 |40008359|        2 |PC |220V 60W ~ UTILICE 20138997             |AR20|2010|261|          |         2 |         |RT-LTapia   |H  |ARS |  5015975|  10|                         |PC |
|     |90068695|4901100121|2004/06/04|2004/06/04|            0,00 |40005933|        1 |UN |CUERO P/SOLDADOR ~ UTILICE 40051010     |AR20|2010|261|          |         1 |         |83947       |H  |ARS |         |    |                         |UN |
|  *  |        |          |2004/06/04|          |        1.291,67 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90068695|4901107768|2004/06/05|2004/06/05|            0,00 |40010469|       10 |PC |3M 8210 ~ UTILICE 40050999              |AR20|2010|261|          |        10 |         |84075       
|     |90068702|4901191125|2004/06/26|2004/06/26|            0,00 |40003892|        1 |PC |AA ~ UTILICE 20136957                   |AR20|2010|261|          |         1 |         |CM          |H  |ARS |  5015975| 264|                         |PC |
|     |90077793|4901191104|2004/06/26|2004/06/26|            1,50 |20020587|        2 |PC |ROSCA,C/TUERCA,GALV,D.3/8PG             |AR20|2010|261|NEW       |         2 |81251000 |RMorales    |H  |ARS |  6142275|  68|                         |PC |
|  *  |        |          |2004/06/26|          |        3.497,00 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
|     |90068695|4901194516|2004/06/27|2004/06/27|            0,00 |40010469|       70 |PC |3M 8210 ~ UTILICE 40050999              |AR20|2010|261|          |        70 |         |MCORTE      |H  |ARS |         |    |                         |PC |
|     |90068695|4901194515|2004/06/27|2004/06/27|            0,00 |40010469|       40 |PC |3M 8210 ~ UTILICE 40050999              |AR20|2010|261|          |        40 |         |5099        |H  |ARS |         |    |                         |PC |
|     |90079652|4901194514|2004/06/27|2004/06/27|           34,00 |20019085|        1 |PC |YEL206+103 ~ RODAMIENTO                 |AR20|2010|261|NEW       |         1 |81251000 |everastegui |H  |ARS |  6395455|  61|                         |PC |
|     |90079652|4901194514|2004/06/27|2004/06/27|            7,11 |20025933|        1 |PC |FY506 ~ SOPORTE-ROD                     |AR20|2010|261|NEW       |         1 |81251000 |everastegui |H  |ARS |  6395455|  62|                         |PC |
